# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-03-29 12:34:02 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03109500 Little Beaver Creek near East Liverpool OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 03109500
#            TS   parameter     statistic     Description
#        108675       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	108675_00060_00003	108675_00060_00003_cd
USGS	03109500	1936-01-25	170	A
USGS	03109500	1936-01-26	150	A
USGS	03109500	1936-01-27	140	A
USGS	03109500	1936-01-28	130	A
USGS	03109500	1936-01-29	120	A
USGS	03109500	1936-01-30	120	A
USGS	03109500	1936-01-31	110	A
USGS	03109500	1936-02-01	110	A
USGS	03109500	1936-02-02	110	A
USGS	03109500	1936-02-03	110	A
USGS	03109500	1936-02-04	150	A
USGS	03109500	1936-02-05	270	A
USGS	03109500	1936-02-06	330	A
USGS	03109500	1936-02-07	360	A
USGS	03109500	1936-02-08	340	A
USGS	03109500	1936-02-09	310	A
USGS	03109500	1936-02-10	270	A
USGS	03109500	1936-02-11	200	A
USGS	03109500	1936-02-12	160	A
USGS	03109500	1936-02-13	300	A
USGS	03109500	1936-02-14	700	A
USGS	03109500	1936-02-15	1400	A
USGS	03109500	1936-02-16	1000	A
USGS	03109500	1936-02-17	880	A
USGS	03109500	1936-02-18	700	A
USGS	03109500	1936-02-19	350	A
USGS	03109500	1936-02-20	250	A
USGS	03109500	1936-02-21	200	A
USGS	03109500	1936-02-22	200	A
USGS	03109500	1936-02-23	250	A
USGS	03109500	1936-02-24	727	A
USGS	03109500	1936-02-25	2730	A
USGS	03109500	1936-02-26	9690	A
USGS	03109500	1936-02-27	7470	A
USGS	03109500	1936-02-28	3350	A
USGS	03109500	1936-02-29	1940	A
USGS	03109500	1936-03-01	1240	A
USGS	03109500	1936-03-02	1010	A
USGS	03109500	1936-03-03	1270	A
USGS	03109500	1936-03-04	1440	A
USGS	03109500	1936-03-05	1700	A
USGS	03109500	1936-03-06	1240	A
USGS	03109500	1936-03-07	896	A
USGS	03109500	1936-03-08	791	A
USGS	03109500	1936-03-09	791	A
USGS	03109500	1936-03-10	868	A
USGS	03109500	1936-03-11	1040	A
USGS	03109500	1936-03-12	1780	A
USGS	03109500	1936-03-13	1480	A
USGS	03109500	1936-03-14	1040	A
USGS	03109500	1936-03-15	1510	A
USGS	03109500	1936-03-16	2780	A
USGS	03109500	1936-03-17	3310	A
USGS	03109500	1936-03-18	2120	A
USGS	03109500	1936-03-19	2170	A
USGS	03109500	1936-03-20	2350	A
USGS	03109500	1936-03-21	2170	A
USGS	03109500	1936-03-22	2120	A
USGS	03109500	1936-03-23	4230	A
USGS	03109500	1936-03-24	9080	A
USGS	03109500	1936-03-25	9930	A
USGS	03109500	1936-03-26	4250	A
USGS	03109500	1936-03-27	3250	A
USGS	03109500	1936-03-28	2450	A
USGS	03109500	1936-03-29	1660	A
USGS	03109500	1936-03-30	1480	A
USGS	03109500	1936-03-31	1240	A
USGS	03109500	1936-04-01	1040	A
USGS	03109500	1936-04-02	2470	A
USGS	03109500	1936-04-03	1990	A
USGS	03109500	1936-04-04	1370	A
USGS	03109500	1936-04-05	1120	A
USGS	03109500	1936-04-06	1940	A
USGS	03109500	1936-04-07	1860	A
USGS	03109500	1936-04-08	1270	A
USGS	03109500	1936-04-09	1060	A
USGS	03109500	1936-04-10	1180	A
USGS	03109500	1936-04-11	1150	A
USGS	03109500	1936-04-12	1040	A
USGS	03109500	1936-04-13	896	A
USGS	03109500	1936-04-14	766	A
USGS	03109500	1936-04-15	766	A
USGS	03109500	1936-04-16	691	A
USGS	03109500	1936-04-17	601	A
USGS	03109500	1936-04-18	544	A
USGS	03109500	1936-04-19	500	A
USGS	03109500	1936-04-20	458	A
USGS	03109500	1936-04-21	434	A
USGS	03109500	1936-04-22	492	A
USGS	03109500	1936-04-23	454	A
USGS	03109500	1936-04-24	399	A
USGS	03109500	1936-04-25	348	A
USGS	03109500	1936-04-26	318	A
USGS	03109500	1936-04-27	286	A
USGS	03109500	1936-04-28	283	A
USGS	03109500	1936-04-29	311	A
USGS	03109500	1936-04-30	314	A
USGS	03109500	1936-05-01	308	A
USGS	03109500	1936-05-02	283	A
USGS	03109500	1936-05-03	337	A
USGS	03109500	1936-05-04	286	A
USGS	03109500	1936-05-05	254	A
USGS	03109500	1936-05-06	230	A
USGS	03109500	1936-05-07	230	A
USGS	03109500	1936-05-08	190	A
USGS	03109500	1936-05-09	177	A
USGS	03109500	1936-05-10	162	A
USGS	03109500	1936-05-11	156	A
USGS	03109500	1936-05-12	154	A
USGS	03109500	1936-05-13	177	A
USGS	03109500	1936-05-14	238	A
USGS	03109500	1936-05-15	208	A
USGS	03109500	1936-05-16	171	A
USGS	03109500	1936-05-17	148	A
USGS	03109500	1936-05-18	140	A
USGS	03109500	1936-05-19	476	A
USGS	03109500	1936-05-20	373	A
USGS	03109500	1936-05-21	241	A
USGS	03109500	1936-05-22	188	A
USGS	03109500	1936-05-23	162	A
USGS	03109500	1936-05-24	146	A
USGS	03109500	1936-05-25	274	A
USGS	03109500	1936-05-26	199	A
USGS	03109500	1936-05-27	168	A
USGS	03109500	1936-05-28	156	A
USGS	03109500	1936-05-29	134	A
USGS	03109500	1936-05-30	122	A
USGS	03109500	1936-05-31	117	A
USGS	03109500	1936-06-01	108	A
USGS	03109500	1936-06-02	98.0	A
USGS	03109500	1936-06-03	83.0	A
USGS	03109500	1936-06-04	75.0	A
USGS	03109500	1936-06-05	73.0	A
USGS	03109500	1936-06-06	67.0	A
USGS	03109500	1936-06-07	66.0	A
USGS	03109500	1936-06-08	72.0	A
USGS	03109500	1936-06-09	88.0	A
USGS	03109500	1936-06-10	108	A
USGS	03109500	1936-06-11	105	A
USGS	03109500	1936-06-12	138	A
USGS	03109500	1936-06-13	131	A
USGS	03109500	1936-06-14	97.0	A
USGS	03109500	1936-06-15	76.0	A
USGS	03109500	1936-06-16	67.0	A
USGS	03109500	1936-06-17	58.0	A
USGS	03109500	1936-06-18	63.0	A
USGS	03109500	1936-06-19	82.0	A
USGS	03109500	1936-06-20	80.0	A
USGS	03109500	1936-06-21	66.0	A
USGS	03109500	1936-06-22	51.0	A
USGS	03109500	1936-06-23	48.0	A
USGS	03109500	1936-06-24	45.0	A
USGS	03109500	1936-06-25	45.0	A
USGS	03109500	1936-06-26	44.0	A
USGS	03109500	1936-06-27	42.0	A
USGS	03109500	1936-06-28	42.0	A
USGS	03109500	1936-06-29	39.0	A
USGS	03109500	1936-06-30	54.0	A
USGS	03109500	1936-07-01	70.0	A
USGS	03109500	1936-07-02	61.0	A
USGS	03109500	1936-07-03	58.0	A
USGS	03109500	1936-07-04	52.0	A
USGS	03109500	1936-07-05	62.0	A
USGS	03109500	1936-07-06	75.0	A
USGS	03109500	1936-07-07	60.0	A
USGS	03109500	1936-07-08	45.0	A
USGS	03109500	1936-07-09	38.0	A
USGS	03109500	1936-07-10	34.0	A
USGS	03109500	1936-07-11	30.0	A
USGS	03109500	1936-07-12	38.0	A
USGS	03109500	1936-07-13	45.0	A
USGS	03109500	1936-07-14	31.0	A
USGS	03109500	1936-07-15	24.0	A
USGS	03109500	1936-07-16	21.0	A
USGS	03109500	1936-07-17	19.0	A
USGS	03109500	1936-07-18	18.0	A
USGS	03109500	1936-07-19	17.0	A
USGS	03109500	1936-07-20	16.0	A
USGS	03109500	1936-07-21	14.0	A
USGS	03109500	1936-07-22	15.0	A
USGS	03109500	1936-07-23	15.0	A
USGS	03109500	1936-07-24	497	A
USGS	03109500	1936-07-25	403	A
USGS	03109500	1936-07-26	154	A
USGS	03109500	1936-07-27	82.0	A
USGS	03109500	1936-07-28	68.0	A
USGS	03109500	1936-07-29	57.0	A
USGS	03109500	1936-07-30	45.0	A
USGS	03109500	1936-07-31	34.0	A
USGS	03109500	1936-08-01	29.0	A
USGS	03109500	1936-08-02	26.0	A
USGS	03109500	1936-08-03	22.0	A
USGS	03109500	1936-08-04	24.0	A
USGS	03109500	1936-08-05	246	A
USGS	03109500	1936-08-06	660	A
USGS	03109500	1936-08-07	51.0	A
USGS	03109500	1936-08-08	102	A
USGS	03109500	1936-08-09	66.0	A
USGS	03109500	1936-08-10	48.0	A
USGS	03109500	1936-08-11	40.0	A
USGS	03109500	1936-08-12	31.0	A
USGS	03109500	1936-08-13	26.0	A
USGS	03109500	1936-08-14	25.0	A
USGS	03109500	1936-08-15	24.0	A
USGS	03109500	1936-08-16	1130	A
USGS	03109500	1936-08-17	366	A
USGS	03109500	1936-08-18	164	A
USGS	03109500	1936-08-19	105	A
USGS	03109500	1936-08-20	162	A
USGS	03109500	1936-08-21	168	A
USGS	03109500	1936-08-22	115	A
USGS	03109500	1936-08-23	96.0	A
USGS	03109500	1936-08-24	79.0	A
USGS	03109500	1936-08-25	138	A
USGS	03109500	1936-08-26	765	A
USGS	03109500	1936-08-27	384	A
USGS	03109500	1936-08-28	213	A
USGS	03109500	1936-08-29	331	A
USGS	03109500	1936-08-30	362	A
USGS	03109500	1936-08-31	230	A
USGS	03109500	1936-09-01	160	A
USGS	03109500	1936-09-02	120	A
USGS	03109500	1936-09-03	115	A
USGS	03109500	1936-09-04	102	A
USGS	03109500	1936-09-05	80.0	A
USGS	03109500	1936-09-06	65.0	A
USGS	03109500	1936-09-07	56.0	A
USGS	03109500	1936-09-08	51.0	A
USGS	03109500	1936-09-09	46.0	A
USGS	03109500	1936-09-10	40.0	A
USGS	03109500	1936-09-11	38.0	A
USGS	03109500	1936-09-12	35.0	A
USGS	03109500	1936-09-13	134	A
USGS	03109500	1936-09-14	351	A
USGS	03109500	1936-09-15	246	A
USGS	03109500	1936-09-16	246	A
USGS	03109500	1936-09-17	125	A
USGS	03109500	1936-09-18	92.0	A
USGS	03109500	1936-09-19	76.0	A
USGS	03109500	1936-09-20	62.0	A
USGS	03109500	1936-09-21	56.0	A
USGS	03109500	1936-09-22	55.0	A
USGS	03109500	1936-09-23	48.0	A
USGS	03109500	1936-09-24	44.0	A
USGS	03109500	1936-09-25	50.0	A
USGS	03109500	1936-09-26	50.0	A
USGS	03109500	1936-09-27	45.0	A
USGS	03109500	1936-09-28	48.0	A
USGS	03109500	1936-09-29	148	A
USGS	03109500	1936-09-30	337	A
USGS	03109500	1936-10-01	225	A
USGS	03109500	1936-10-02	166	A
USGS	03109500	1936-10-03	140	A
USGS	03109500	1936-10-04	113	A
USGS	03109500	1936-10-05	97.0	A
USGS	03109500	1936-10-06	91.0	A
USGS	03109500	1936-10-07	117	A
USGS	03109500	1936-10-08	168	A
USGS	03109500	1936-10-09	949	A
USGS	03109500	1936-10-10	4950	A
USGS	03109500	1936-10-11	1590	A
USGS	03109500	1936-10-12	816	A
USGS	03109500	1936-10-13	492	A
USGS	03109500	1936-10-14	344	A
USGS	03109500	1936-10-15	268	A
USGS	03109500	1936-10-16	233	A
USGS	03109500	1936-10-17	1550	A
USGS	03109500	1936-10-18	1510	A
